message,class
"Hi, folks --

I'm Ben (he/they). I oversee Talent Acquisition & Development for Storj Labs (decentralized cloud storage). Before that I was recruiting for Medici Ventures, the blockchain-focused subsidiary of Overstock.com. In short, I'm deeply imbedded in the blockchain and talent communities.

I graduated Valedictorian with a BS in Human Communication, emphasizing in Organizational Design & Leadership. I'm a staunch advocate for distributed and autonomous work.

Excited to be here. So much to learn!",True
Great to have you! Your background sounds like a great fit. I'm sure you'll have some good ideas about how we can improve the onboarding experience of DAOs,False
Thanks for the welcome ğŸ˜Š,False
Welcome onboard! Definitely a great fit with what we intend to do. Great to know that you've recruited for the crypto/blockchain sphere! I'd love to read more about the differences you found about recruiting in this space vs traditional jobs and learn more about it!,False
Welcome Ben! Great to have you with us and excited to get your perspective! I also love Storj ğŸ™‚ I use the CLI all the time for file transfers and for just general tinkering. Keen to brainstorm with you in <#889882476414136320> on how Storj could be used at talentDAO.,False
"Happy to have those conversations. Also happy to make introductions to those who might be better suited to architect solutions.

Either way, we're a remote-first team with ~70 people across 18 countries. So there's plenty to work with there in terms of synced values.",False
So glad you're here! If you haven't already visited <#914701523362148382> this is a great first step to start getting involved. I would highly second sherifoz#7023 comment on hearing your experiences recruiting in this space v traditional companies.,False
Do folks do AMAs here? I think that could be cool.,False
"Hey <@!694716486622773359> thanks for joining! I've been meaning to follow-up with you about your intro and interest in the survey! I'm the primary researcher on it and would love to get your feedback -- what interested you? are there additional questions you're curious about? anything you'd improve? etc.? 

Perhaps we can find a time to chat, or please post your thoughts in the <#892143190327578624> channel. Btw -- I just posted our initial findings. check em out!",False
"Morning everyone, Ben Baldieri here. Some of you may have seen me on LinkedIn, I run the DAOstronaut podcast and am head of communications and growth for the global Blockchain Initiative. Great to be here!",True
Gm Ben! We've exchanged some messages on LinkedIn before! Glad to have you with us.,False
"Awesome! Welcome Ben! If you haven't already selected <#914701523362148382> of interest, that's a great starting point. ğŸ™‚ Would love to know more about the global blockchain initiative and how you see your work connecting with TalentDAO. We're so glad you're here!",False
"HowdyğŸ¤ ! I'm Joshua, Executive Community Steward at Opolis, Treasurer and co-founder of SporkDAO (ETHDenver's parent DAO), Founder of RainbowRolls (ğŸŒˆ,ğŸ§») and ETHDenver's Bufficorn Buidl Brigade. I'm also a writer for TheRugNews. I've paired back where I actively contribute but I'm a Member/Contributor to RigorğŸ§±, MetaCartelğŸŒ¶, RaidGuildâš”ï¸, DAOHausğŸ°, BanklessDAOğŸ´, MetaGameğŸ™, MetaFactoryğŸ¤–, ChessDAOâ™˜, and. MetaMaskğŸ¦Š.",True
"Welcome onboard Joshua! I can't think of the amount of experience you must have got by now from getting involved in the names you've mentioned alone! Absolutely great to have you with us, and I will enjoy to learn more about your insights and recommendations so far in the space. I would recommend that you start by checking <#914701523362148382> to unlock/unhide different guilds in our DAO and let us know about your interests!",False
Now it's a party!,False
"<@!563519780955357187> SO thrilled to have you with us! I love seeing all your connections to the DAO ecosystem! 3 quick notes 1) I'm headed to ETHDenver, excited to see a SporkDAO-run conference, 2) Pease share a link to TheRugNews in the All Things DAO section, and 3) Looking forward to seeing what areas of talentDAO interest you! - Welcome!",False
"Hey everyone! I am Marcus working in IT-Consulting / Software Development for around three decades. I am currently involved in RomeDAO (actually in one of their subDAO called ""House of Chaos""). I literally found you guys a couple of minutes ago while searching for likeminded people. I might add that I am the ""Digital Workplace"" space for around 10 years and I feel since Wyomings DAO LLC this could be something",True
"How are you?", False
"Welcome!", False
"Great to have you here!", False
